,region,end_11,end_9,percentage_after_finish_9thClasses,poverty
0,Абай,5012,8956,55.962483251451545,8
1,Акмолинская,5068,11248,45.05689900426743,5.3
2,Актюбинская,8235,13775,59.78221415607986,4.2
3,Алматинская,12456,27053,46.04295272243374,3.6
4,Атырауская,6217,10771,57.71980317519265,2.6
5,Западно-Казахстанская,5886,9427,62.43767900710725,4.3
6,Жамбылская,11817,21123,55.94375798892203,5.2
7,Жетису,6582,10911,60.324443222436074,7.8
8,Карагандинская,7707,14928,51.62781350482315,3
9,Костанайская,4649,9416,49.37340696686491,3.5
10,Кызылординская,7798,14590,53.447566826593565,6.2
11,Мангистауская,7708,12631,61.0244636212493,7
12,Павлодарская,4485,9317,48.13781260062252,3.9
13,Северо-Казахстанская,3523,6362,55.37566802892172,4.9
14,Туркестанская*,29657,43042,68.9024673574648,9
15,Улытау,1628,3285,49.558599695586,4.9
16,Восточно-Казахстанская,4269,8103,52.68419104035542,4.2
17,город Астана,9148,15755,58.06410663281498,2.4
18,город Алматы,14770,25891,57.04685025684601,5.1
19,город Шымкент,11691,19567,59.74855624265345,6.4
